sample_id,seed,objective,success,v12,v21,obj_value,n_iters,converged,elapsed_time,error,E0,Emin,ft,max_iter,nelx,nely,nu,save_every,scale_factor,tol_change,tol_obj,void_size_frac,volfrac,window_size
105,cross_rectangular,auxetic,True,0.3976197047756488,0.3976197047756527,34.41743144530021,36,True,6.9,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.103585,0.337398,20
106,cross_rectangular,auxetic,True,0.19945881411234978,0.19933349746764029,123.50469523377467,150,True,28.49,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.134701,0.618452,20
107,cross_rectangular,auxetic,True,0.31279321154545703,0.3127932115454604,95.5897354602269,47,True,8.46,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.162271,0.549692,20
108,cross_rectangular,auxetic,True,0.15641729885394612,0.156417298853946,101.70746552738035,31,True,5.92,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.298163,0.599678,20
109,cross_rectangular,auxetic,True,0.15218498332522207,0.15157272652946768,150.16987258151,150,True,27.47,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.172473,0.673122,20
110,cross_rectangular,auxetic,True,0.1166230837056048,0.11662308370560139,32.26996308998631,35,True,6.53,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.36318,0.378967,20
111,cross_rectangular,auxetic,True,0.1953305797435044,0.19600767994439708,127.63852004578166,150,True,27.23,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.201875,0.629477,20
112,cross_rectangular,auxetic,True,0.24936221727580388,0.24936221727581342,114.06677892526056,71,True,12.6,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.211418,0.60236,20
113,cross_rectangular,auxetic,True,0.1793260503752283,0.1793260503752311,31.52200071222016,56,True,10.45,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.241011,0.368845,20
114,cross_rectangular,auxetic,True,0.1875008381101954,0.18750083811019666,41.50094497718697,79,True,15.25,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.303621,0.410698,20
115,cross_rectangular,auxetic,True,0.2124502832111873,0.21245028321119308,74.7800117797909,32,True,6.1,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.266947,0.521175,20
116,cross_rectangular,auxetic,True,0.11579846274489847,0.115798462744894,43.344537208048976,75,True,13.67,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.390884,0.435355,20
117,cross_rectangular,auxetic,True,0.10294249710030502,0.10294249658006158,150.53213304103656,81,True,14.69,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.329422,0.69739,20
118,cross_rectangular,auxetic,True,0.27630954846047306,0.2763095484604827,68.29395480288858,39,True,7.36,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.218264,0.489061,20
119,cross_rectangular,auxetic,True,0.14555923201758705,0.1455592320175883,47.904335696418535,38,True,7.1,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.34684,0.449156,20
120,cross_rectangular,auxetic,True,0.17158873890675078,0.17156215352178425,149.23002405658372,150,True,28.18,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.18067,0.665105,20
121,cross_rectangular,auxetic,True,0.12729271787477583,0.12729271787476848,24.699384956067437,35,True,6.63,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.382864,0.328879,20
122,cross_rectangular,auxetic,True,0.44966833581247795,0.4496683358124769,34.66554274262549,53,True,10.05,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.117485,0.332194,20
123,cross_rectangular,auxetic,True,0.19157347186675255,0.19157347186674972,42.880297260236134,35,True,6.67,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.313832,0.416656,20
