batch,seed,sample_id,image_path,v12,v21,volfrac_achieved,obj_value,converged,volfrac,penal,rmin,move,void_size_frac,n_components,is_connected,degenerate,solid_frac
1,four_circle,453,outputs/multi_batch/batch_1/four_circle/sample_0453/iteration_00150.png,0.0257364106519915,0.0148384757570163,0.296949,1.6812998757298234,True,0.524128,3.452934,1.924314,0.106652,0.537442,2,False,False,0.29638671875
1,four_circle,454,outputs/multi_batch/batch_1/four_circle/sample_0454/iteration_00150.png,-0.2592253216249672,-0.2371522083826129,0.495444,0.7353021237148558,True,0.495444,4.234625,1.661257,0.059363,0.316793,3,False,False,0.491943359375
1,four_circle,456,outputs/multi_batch/batch_1/four_circle/sample_0456/iteration_00150.png,-0.3174716337031791,-0.3184915184768033,0.532626,0.8769494671405967,True,0.536364,4.673387,1.825363,0.216987,0.500868,3,False,False,0.536865234375
1,four_circle,457,outputs/multi_batch/batch_1/four_circle/sample_0457/iteration_00150.png,-0.3893961659766823,-0.3715078508452134,0.582308,0.8632519567319769,True,0.666725,3.375293,1.310356,0.061862,0.386965,2,False,False,0.588623046875
1,four_circle,460,outputs/multi_batch/batch_1/four_circle/sample_0460/iteration_00150.png,-0.3575696378535729,-0.33124433500626,0.437788,0.7272073217623389,True,0.477369,3.557008,1.000508,0.176912,0.301222,3,False,False,0.4423828125
1,four_circle,463,outputs/multi_batch/batch_1/four_circle/sample_0463/iteration_00068.png,0.2999999999999593,0.3000000000000113,0.0,1.999999999995317,True,0.568554,2.768616,2.391306,0.225812,0.519542,0,True,True,0.0
1,four_circle,465,outputs/multi_batch/batch_1/four_circle/sample_0465/iteration_00150.png,-0.231346574225376,-0.2340544814016359,0.517473,0.8959397495206494,True,0.517472,2.632441,2.446283,0.085545,0.323709,3,False,False,0.52685546875
1,four_circle,466,outputs/multi_batch/batch_1/four_circle/sample_0466/iteration_00150.png,-0.2939279932467518,-0.315621729243091,0.481707,0.6017291008497508,True,0.481707,4.82111,1.162236,0.135959,0.535142,3,False,False,0.474365234375
1,four_circle,468,outputs/multi_batch/batch_1/four_circle/sample_0468/iteration_00150.png,-0.2339900165732286,-0.223721642444823,0.57987,0.8718823255521653,True,0.57987,4.302049,2.137922,0.15011,0.364482,3,False,False,0.5888671875
1,four_circle,469,outputs/multi_batch/batch_1/four_circle/sample_0469/iteration_00117.png,-0.2245012081836476,-0.2353072626837923,0.451456,0.8361196222539147,True,0.451457,2.996631,1.715566,0.12086,0.478824,3,False,False,0.447998046875
1,four_circle,470,outputs/multi_batch/batch_1/four_circle/sample_0470/iteration_00150.png,-0.0035241816304074,-0.0042434496881013,0.46884,1.6954250431834992,True,0.547773,3.690443,1.887573,0.070151,0.267526,5,False,False,0.46533203125
