seed,obj,v12,v21,obj_val,success,n_iters,converged,elapsed,volfrac,penal,rmin,move,void_size_frac,rotation_deg,v12_clipped,f_proxy
circle_half_quarter,first,0.3003552348628395,0.3240025957007231,-1.4384985924625884,True,25,True,9.17,0.582766,2.145356,1.925524,0.220162,0.476742,2.933173,0.3003552348628395,3.185835513819283
grid_circular_voids,auxetic,0.3149710526530301,0.3147823117947245,138.93356474214653,True,150,True,51.33,0.593808,4.80489,2.81414,0.066513,0.279058,32.44388,0.3149710526530301,3.324244092063829
nine_circle,auxetic,0.3149710526530301,0.3147823117947245,138.93356474214653,True,150,True,49.83,0.593808,4.80489,2.81414,0.066513,0.279058,32.44388,0.3149710526530301,3.324244092063829
four_circle,auxetic,0.3294711859071272,0.3305766884760044,121.38460921461652,True,90,True,30.37,0.593808,4.80489,2.81414,0.066513,0.279058,32.44388,0.3294711859071272,3.3999012581918993
hourglass,first,0.3468821786561509,0.4807299221986809,-1.6367452798552424,True,150,True,41.99,0.582766,2.145356,1.925524,0.220162,0.476742,2.933173,0.3468821786561509,3.4237081802998026
hexagonal,auxetic,0.3765319270545721,0.2168169549399818,98.14203182657278,True,150,True,51.11,0.569365,1.416255,2.576736,0.112346,0.58394,36.23807,0.3765319270545721,3.4850034354042805
four_circle,auxetic,0.3827275442549138,0.2889067807762261,106.4952156583884,True,150,True,39.07,0.590683,1.556407,5.45649,0.190038,0.381083,47.252506,0.3827275442549138,3.6451119553408775
circle,first,0.4126967744911398,0.4126967744911711,-1.3773557329987491,True,150,True,51.01,0.582766,2.145356,1.925524,0.220162,0.476742,2.933173,0.4126967744911398,3.734403863673355
small_square_cross,first,0.4153156865976884,0.4153539299976775,-2.5066158210033755,True,27,True,9.74,0.582766,2.145356,1.925524,0.220162,0.476742,2.933173,0.4153156865976884,3.746234109757214
hexagonal,first,0.4312639823625276,0.4232722742144204,-1.480588104051717,True,12,True,5.27,0.573552,3.033662,4.782323,0.065717,0.512415,76.104967,0.4312639823625276,3.757127500232152
cross_rectangular,first,0.433997376956277,0.4339935337403039,-2.440386066868344,True,24,True,9.51,0.582766,2.145356,1.925524,0.220162,0.476742,2.933173,0.433997376956277,3.8295637077444535
circle,first,0.4495107656627931,0.449510765662762,-1.6365585075091815,True,10,True,4.84,0.573552,3.033662,4.782323,0.065717,0.512415,76.104967,0.4495107656627931,3.8357861578950563
square,first,0.4975898126682765,0.4975898126682238,-2.0164930775168703,True,10,True,4.55,0.573552,3.033662,4.782323,0.065717,0.512415,76.104967,0.4975898126682765,4.035711190275694
square,first,0.508683053883827,0.5086830538838617,-2.0477621658535647,True,10,True,4.25,0.582766,2.145356,1.925524,0.220162,0.476742,2.933173,0.508683053883827,4.146000798114207
hexagonal,first,0.8221320292094827,0.3577234132466145,-2.7769729145113446,True,25,True,9.23,0.582766,2.145356,1.925524,0.220162,0.476742,2.933173,0.8221320292094827,5.270799917268339
