sample_id,objective,seed,batch,volfrac,move,rmin,penal,void_size_frac,rotation_deg,beta,beta_second,best_obj_value,poisson_ratio,eigenfreq_1,eigenfreq_2,compliance,volume_fraction_final,n_iter,converged,elapsed_time,topology_path
first_circle_041,first,circle,phase1,0.421011,0.110833,2.489833,1.2781,0.54948,63.135285,0.585621,,-1.5897386681856163,,-1.5897386681856163,,,0.7628,14,True,5.3,./circle/first/sample_0041/iteration_00014.png
first_circle_042,first,circle,phase1,0.337251,0.26599,3.102043,4.207788,0.562205,56.44353,0.329304,,-1.798510432386694,,-1.798510432386694,,,0.74304,150,True,45.2,./circle/first/sample_0042/iteration_00150.png
first_circle_043,first,circle,phase1,0.374924,0.075712,3.948578,1.837115,0.225372,31.706839,0.35665,,-0.399153223835797,,-0.399153223835797,,,0.945275,150,True,26.81,./circle/first/sample_0043/iteration_00150.png
first_circle_044,first,circle,phase1,0.333868,0.177916,1.852212,1.068819,0.667674,10.138479,1.131207,,1.4535873100768893e-34,,1.4535873100768893e-34,,,0.0,12,True,4.4,./circle/first/sample_0044/iteration_00012.png
first_circle_045,first,circle,phase1,0.46938,0.208516,1.031426,2.089643,0.530511,25.350574,1.152458,,1.5772042224851859e-34,,1.5772042224851859e-34,,,0.0,11,True,3.99,./circle/first/sample_0045/iteration_00011.png
first_circle_046,first,circle,phase1,0.357373,0.296737,3.615144,4.877165,0.681956,71.0411,0.54881,,-1.8008458400227225,,-1.8008458400227225,,,0.426107,12,True,4.72,./circle/first/sample_0046/iteration_00012.png
first_circle_047,first,circle,phase1,0.461695,0.291526,5.27976,4.301209,0.571393,17.762215,1.269255,,3.5973484581674065e-34,,3.5973484581674065e-34,,,0.0,10,True,4.46,./circle/first/sample_0047/iteration_00010.png
first_circle_048,first,circle,phase1,0.287239,0.21032,5.591551,1.341943,0.388626,0.074016,0.832779,,2.7616158895318996e-36,,2.7616158895318996e-36,,,0.0,13,True,5.49,./circle/first/sample_0048/iteration_00013.png
first_circle_049,first,circle,phase1,0.227251,0.08027,1.620489,1.65739,0.277466,33.137863,0.753719,,-1.3405087151199035,,-1.3405087151199035,,,0.410684,150,True,33.21,./circle/first/sample_0049/iteration_00150.png
second_circle_000,second,circle,phase1,0.529808,0.166513,2.81414,1.52489,0.299058,43.24388,,1.269554,-282.2442269223213,,-282.2442269223213,,,0.0,12,True,4.97,./circle/second/sample_0000/iteration_00012.png
second_circle_001,second,circle,phase1,0.433711,0.263146,4.454961,2.589751,0.650732,4.241043,,1.66709,-248.3687322071461,,-248.3687322071461,,,0.0,10,True,4.31,./circle/second/sample_0001/iteration_00010.png
second_circle_002,second,circle,phase1,0.348453,0.119681,1.544542,4.821821,0.311724,36.663004,,2.389676,-229.80680968663552,,-229.80680968663552,,,0.0,15,True,5.56,./circle/second/sample_0002/iteration_00015.png
second_circle_003,second,circle,phase1,0.237164,0.191108,5.810688,3.882344,0.638054,49.559902,,0.738248,-32.88782184403679,,-32.88782184403679,,,0.0,12,True,5.26,./circle/second/sample_0003/iteration_00012.png
second_circle_004,second,circle,phase1,0.582766,0.220162,1.925524,2.145356,0.476742,2.933173,,0.641218,-172.4763835482681,,-172.4763835482681,,,0.0,11,True,4.43,./circle/second/sample_0004/iteration_00011.png
second_circle_005,second,circle,phase1,0.206484,0.173865,1.75243,1.949606,0.393302,58.613127,,1.146693,-38.72193349932643,,-38.72193349932643,,,0.0,12,True,4.29,./circle/second/sample_0005/iteration_00012.png
second_circle_006,second,circle,phase1,0.258398,0.095976,5.316774,1.215011,0.466125,19.281009,,1.7927,-94.80291696101878,,-94.80291696101878,,,0.0,17,True,7.45,./circle/second/sample_0006/iteration_00017.png
second_circle_007,second,circle,phase1,0.294882,0.056065,4.699264,3.864007,0.673351,22.130702,,1.748771,-120.43855034741287,,-120.43855034741287,,,0.0,24,True,9.78,./circle/second/sample_0007/iteration_00024.png
second_circle_008,second,circle,phase1,0.364329,0.109427,2.58602,1.434501,0.413316,67.552027,,2.357391,-247.8302948731548,,-247.8302948731548,,,0.0,16,True,6.09,./circle/second/sample_0008/iteration_00016.png
second_circle_009,second,circle,phase1,0.40188,0.052204,4.544642,3.189223,0.49696,73.744528,,1.042531,-133.3576887262203,,-133.3576887262203,,,0.0,25,True,9.29,./circle/second/sample_0009/iteration_00025.png
second_circle_010,second,circle,phase1,0.390283,0.08883,5.41466,4.407318,0.649417,46.293509,,0.848256,-102.33476670422138,,-102.33476670422138,,,0.0,18,True,8.01,./circle/second/sample_0010/iteration_00018.png
second_circle_011,second,circle,phase1,0.586705,0.281678,2.72161,3.115437,0.585936,11.134763,,2.333321,-636.1356587430366,,-636.1356587430366,,,0.0,10,True,3.89,./circle/second/sample_0011/iteration_00010.png
second_circle_012,second,circle,phase1,0.215818,0.287691,4.827764,4.112796,0.358387,27.898119,,0.533908,-19.696031552332315,,-19.696031552332315,,,0.0,10,True,4.74,./circle/second/sample_0012/iteration_00010.png
second_circle_013,second,circle,phase1,0.498429,0.163492,3.461898,4.644307,0.433697,42.548737,,2.096494,-412.5125257493752,,-412.5125257493752,,,0.0,13,True,5.17,./circle/second/sample_0013/iteration_00013.png
second_circle_014,second,circle,phase1,0.319056,0.196501,1.209142,2.923048,0.617341,79.255483,,1.50885,-121.65106323592256,,-121.65106323592256,,,0.0,12,True,4.85,./circle/second/sample_0014/iteration_00012.png
second_circle_015,second,circle,phase1,0.410265,0.094518,3.372776,3.524051,0.280974,78.379603,,1.091905,-145.56262143259286,,-145.56262143259286,,,0.0,17,True,6.64,./circle/second/sample_0015/iteration_00017.png
second_circle_016,second,circle,phase1,0.573552,0.065717,4.782323,3.033662,0.512415,76.104967,,0.682716,-177.87811934007237,,-177.87811934007237,,,0.0,22,True,8.93,./circle/second/sample_0016/iteration_00022.png
second_circle_017,second,circle,phase1,0.490982,0.259578,3.535015,3.353272,0.235842,53.925094,,2.00024,-381.89910856278846,,-381.89910856278846,,,0.0,10,True,3.68,./circle/second/sample_0017/iteration_00010.png
second_circle_018,second,circle,phase1,0.509361,0.147062,2.08966,3.788438,0.508294,37.934784,,1.596758,-328.1154609815713,,-328.1154609815713,,,0.0,13,True,5.17,./circle/second/sample_0018/iteration_00013.png
second_circle_019,second,circle,phase1,0.517225,0.245207,4.99772,3.992727,0.245177,88.591077,,2.496691,-529.0052666513942,,-529.0052666513942,,,0.0,11,True,4.61,./circle/second/sample_0019/iteration_00011.png
second_circle_020,second,circle,phase1,0.300107,0.277141,5.606217,2.800743,0.555265,35.519444,,2.166737,-154.55884916679923,,-154.55884916679923,,,0.0,10,True,5.23,./circle/second/sample_0020/iteration_00010.png
second_circle_021,second,circle,phase1,0.395835,0.180869,1.497839,2.484887,0.331038,41.147552,,2.237839,-277.7105972608593,,-277.7105972608593,,,0.0,12,True,3.92,./circle/second/sample_0021/iteration_00012.png
second_circle_022,second,circle,phase1,0.223131,0.251703,4.071877,2.226221,0.21273,81.416435,,1.65569,-65.28849038304492,,-65.28849038304492,,,0.0,10,True,4.12,./circle/second/sample_0022/iteration_00010.png
