batch,seed,v12,v21,volfrac,penal,rmin,move,void_size_frac,volfrac_achieved,converged,is_connected,min_feature_ok,manufacturable,periodic_ok,passes_all
1,circle_half_quarter,0.2354989737973773,0.2354989737977246,0.487733,4.762593,1.31079,0.18948,0.541224,0.297975,True,False,True,False,True,False
1,circle_half_quarter,-0.3312815275376664,-0.3312816158225332,0.530919,3.163659,2.492921,0.232718,0.271543,0.53092,True,True,True,True,False,False
1,circle_half_quarter,0.0373616847253627,0.0373616847253777,0.577533,3.607543,1.463678,0.140567,0.436625,0.421936,True,False,False,False,True,False
1,circle_half_quarter,0.0541226154188472,0.0541226154188728,0.62231,2.970617,1.087387,0.110558,0.451768,0.388695,True,True,True,True,True,True
1,circle_half_quarter,0.1501914367861987,0.1501914367862599,0.543958,4.164428,2.119205,0.218407,0.288737,0.537625,True,False,True,False,False,False
1,circle_half_quarter,0.1665130667573044,0.1665130667574017,0.469811,2.565608,1.684149,0.160078,0.488984,0.31422,True,False,False,False,True,False
1,circle_half_quarter,-0.1266541032360277,-0.1266541032361093,0.641456,4.556254,2.155261,0.067903,0.332966,0.634583,True,True,True,True,False,False
1,circle_half_quarter,-0.0023135360237721,-0.0023135360237734,0.523614,2.660386,1.366894,0.07311,0.417427,0.496508,True,True,True,True,True,True
1,circle_half_quarter,0.1160608721733195,0.1160608721733791,0.601512,4.463664,1.840569,0.155935,0.254677,0.601511,True,True,True,True,True,True
1,circle_half_quarter,0.0281908698697671,0.028190869869826,0.683745,3.063971,1.402584,0.222612,0.52318,0.153984,True,False,True,False,True,False
1,circle_half_quarter,-0.1591319381828401,-0.1595157569018471,0.51164,4.070333,2.437697,0.105461,0.36748,0.51164,True,True,True,True,True,True
1,circle_half_quarter,-0.2365777465382034,-0.1910528093454714,0.463628,3.257808,2.058112,0.144202,0.352337,0.463628,True,True,True,True,False,False
1,circle_half_quarter,0.0156551026919184,0.0156551026919353,0.666495,3.514141,1.032165,0.22705,0.505986,0.212236,True,True,True,True,True,True
1,circle_half_quarter,0.1355238847947208,0.135523884794764,0.615832,2.114518,2.211367,0.195282,0.306918,0.558159,True,True,True,True,True,True
1,circle_half_quarter,0.0793684380488876,0.0793684380489283,0.568697,4.667685,1.746103,0.078107,0.472305,0.391733,True,False,True,False,True,False
1,circle_half_quarter,0.0809756658930755,0.0809756658931283,0.589417,2.835275,2.26526,0.095803,0.483956,0.323096,True,False,False,False,True,False
1,circle_half_quarter,0.1169551241623178,0.1169551241623653,0.542313,4.029131,1.598225,0.175527,0.337335,0.540035,True,True,True,True,True,True
1,circle_half_quarter,0.1204279812530272,0.1204279812530695,0.491962,2.443403,2.018638,0.246696,0.437968,0.396036,True,True,True,True,True,True
1,circle_half_quarter,-0.3607657624794834,-0.3607657624797717,0.694859,4.434187,1.165165,0.126396,0.303048,0.692935,True,True,True,True,False,False
1,circle_half_quarter,-0.3448483061572844,-0.3448483061576614,0.645642,2.23775,1.550604,0.124731,0.285342,0.632178,True,True,True,True,False,False
1,circle_half_quarter,0.0972039955683567,0.0972039955683904,0.473507,4.978412,2.383192,0.204431,0.422313,0.473228,True,True,True,True,True,True
1,circle_half_quarter,0.0704586008518133,0.0704586008518373,0.555885,3.392754,1.233292,0.17403,0.392871,0.540072,True,True,True,True,True,True
1,circle_half_quarter,0.0507478635525952,0.0507478635526758,0.633751,3.836592,1.880197,0.053754,0.536854,0.199248,True,True,True,True,True,True
1,circle_half_quarter,0.0781877318130443,0.0781877318130756,0.45405,2.292992,2.453708,0.050915,0.466618,0.320005,True,True,True,True,True,True
1,circle_half_quarter,0.0904006085476452,0.0904006085476793,0.657404,4.852111,1.433265,0.171215,0.313255,0.60976,True,True,True,True,True,True
1,circle_half_quarter,0.1182183178474036,0.1182183178474891,0.606368,3.448002,1.762852,0.200239,0.511451,0.188758,True,True,True,True,True,True
1,circle_half_quarter,0.0591772032728576,0.0591772032726819,0.559721,3.710285,1.303803,0.120515,0.34635,0.539428,True,True,True,True,True,True
1,circle_half_quarter,0.0719426599920257,0.0719426599915442,0.515127,2.867914,1.668363,0.128262,0.364057,0.502481,True,True,True,True,True,True
1,circle_half_quarter,0.009464381832141,0.0094643818321702,0.593512,3.880045,2.148299,0.248538,0.527107,0.135476,True,False,False,False,True,False
1,circle_half_quarter,0.0932160684526435,0.0932160684526834,0.675143,2.476049,1.048198,0.17913,0.257718,0.5505,True,True,True,True,True,True
